economy_code,indicator_id,ref_period,value,flag
CAM,lab_hours_worked_level,2023,25139.267,OK
CHN,lab_hours_worked_level,2023,1550979.2,OK
FJI,lab_hours_worked_level,2023,716.34608,OK
HKG,lab_hours_worked_level,2023,7756.9447,OK
IDN,lab_hours_worked_level,2023,273243.78,OK
IND,lab_hours_worked_level,2023,1155928.3,OK
IRN,lab_hours_worked_level,2023,56266.413,OK
JPN,lab_hours_worked_level,2023,115540.08,OK
KOR,lab_hours_worked_level,2023,55617.778,OK
LAO,lab_hours_worked_level,2023,9693.1785,OK
MAL,lab_hours_worked_level,2023,35261.648,OK
MDV,lab_hours_worked_level,2023,606.8571,OK
MGL,lab_hours_worked_level,2023,2294.3007,OK
MYA,lab_hours_worked_level,2023,46503.211,OK
NEP,lab_hours_worked_level,2023,22372.324,OK
PAK,lab_hours_worked_level,2023,145328.24,OK
PHL,lab_hours_worked_level,2023,92758.994,OK
ROC,lab_hours_worked_level,2023,24230.737,OK
SIN,lab_hours_worked_level,2023,8358.3385,OK
SRI,lab_hours_worked_level,2023,15422.112,OK
THA,lab_hours_worked_level,2023,81549.55,OK
TUR,lab_hours_worked_level,2023,63345.359,OK
VIE,lab_hours_worked_level,2023,123913.6,OK
AFG,pop_total_level,2023,36812.396,OK
BAN,pop_total_level,2023,170922.58,OK
BHR,pop_total_level,2023,1577.059,OK
BRN,pop_total_level,2023,450.5,OK
BTN,pop_total_level,2023,768.59624,OK
CAM,pop_total_level,2023,16441.652,OK
CHN,pop_total_level,2023,1409670.0,OK
FJI,pop_total_level,2023,924.145,OK
HKG,pop_total_level,2023,7536.1,OK
IDN,pop_total_level,2023,271298.97,OK
IND,pop_total_level,2023,1438069.6,OK
IRN,pop_total_level,2023,86870.398,OK
JPN,pop_total_level,2023,124352.0,OK
KOR,pop_total_level,2023,51712.619,OK
KWT,pop_total_level,2023,4514.3324,OK
LAO,pop_total_level,2023,7659.6478,OK
MAL,pop_total_level,2023,33379.0,OK
MDV,pop_total_level,2023,464.13608,OK
MGL,pop_total_level,2023,3521.9037,OK
MYA,pop_total_level,2023,54133.798,OK
NEP,pop_total_level,2023,28645.861,OK
OMN,pop_total_level,2023,5077.0406,OK
PAK,pop_total_level,2023,214448.25,OK
PHL,pop_total_level,2023,114036.98,OK
QAT,pop_total_level,2023,2791.7271,OK
ROC,pop_total_level,2023,23420.442,OK
SAU,pop_total_level,2023,33264.292,OK
SIN,pop_total_level,2023,5917.648,OK
SRI,pop_total_level,2023,22037.0,OK
THA,pop_total_level,2023,68928.428,OK
TUR,pop_total_level,2023,85372.377,OK
UAE,pop_total_level,2023,12611.426,OK
VIE,pop_total_level,2023,100309.21,OK
AFG,price_cpi_index,2023,1.2141019,OK
BAN,price_cpi_index,2023,1.4712199,OK
BHR,price_cpi_index,2023,1.0379167,OK
BRN,price_cpi_index,2023,1.0853659,OK
BTN,price_cpi_index,2023,1.3174775,OK
CAM,price_cpi_index,2023,1.2116165,OK
CHN,price_cpi_index,2023,1.1105882,OK
FJI,price_cpi_index,2023,1.1038603,OK
HKG,price_cpi_index,2023,1.115222,OK
IDN,price_cpi_index,2023,1.1890127,OK
IND,price_cpi_index,2023,1.3623596,OK
IRN,price_cpi_index,2023,6.4141161,OK
JPN,price_cpi_index,2023,1.0710721,OK
KOR,price_cpi_index,2023,1.1428133,OK
KWT,price_cpi_index,2023,1.1566725,OK
LAO,price_cpi_index,2023,1.855165,OK
MAL,price_cpi_index,2023,1.0912134,OK
MDV,price_cpi_index,2023,1.0454061,OK
MGL,price_cpi_index,2023,1.6228828,OK
MYA,price_cpi_index,2023,2.0420608,OK
NEP,price_cpi_index,2023,1.3408436,OK
OMN,price_cpi_index,2023,1.0624476,OK
PAK,price_cpi_index,2023,2.1886313,OK
PHL,price_cpi_index,2023,1.2909838,OK
QAT,price_cpi_index,2023,1.0741077,OK
ROC,price_cpi_index,2023,1.0939347,OK
SAU,price_cpi_index,2023,1.1214471,OK
SIN,price_cpi_index,2023,1.1478774,OK
SRI,price_cpi_index,2023,2.1055359,OK
THA,price_cpi_index,2023,1.0969824,OK
TUR,price_cpi_index,2023,4.7699567,OK
UAE,price_cpi_index,2023,1.0609936,OK
VIE,price_cpi_index,2023,1.1916386,OK
AFG,out_ppp_gdp_rate,2023,14.806405,OK
BAN,out_ppp_gdp_rate,2023,28.630678,OK
BHR,out_ppp_gdp_rate,2023,0.17301896,OK
BRN,out_ppp_gdp_rate,2023,0.51940604,OK
BTN,out_ppp_gdp_rate,2023,19.243682,OK
CAM,out_ppp_gdp_rate,2023,1345.0726,OK
CHN,out_ppp_gdp_rate,2023,3.6369794,OK
FJI,out_ppp_gdp_rate,2023,0.87449005,OK
HKG,out_ppp_gdp_rate,2023,5.5296739,OK
IDN,out_ppp_gdp_rate,2023,4819.7807,OK
IND,out_ppp_gdp_rate,2023,20.202558,OK
IRN,out_ppp_gdp_rate,2023,89391.813,OK
JPN,out_ppp_gdp_rate,2023,95.096275,OK
KOR,out_ppp_gdp_rate,2023,836.2526,OK
KWT,out_ppp_gdp_rate,2023,0.20095062,OK
LAO,out_ppp_gdp_rate,2023,3934.8736,OK
MAL,out_ppp_gdp_rate,2023,1.4262681,OK
MDV,out_ppp_gdp_rate,2023,9.5997904,OK
MGL,out_ppp_gdp_rate,2023,1103.3402,OK
MYA,out_ppp_gdp_rate,2023,435.00043,OK
NEP,out_ppp_gdp_rate,2023,33.394592,OK
OMN,out_ppp_gdp_rate,2023,0.19487229,OK
PAK,out_ppp_gdp_rate,2023,56.274463,OK
PHL,out_ppp_gdp_rate,2023,19.269563,OK
QAT,out_ppp_gdp_rate,2023,2.264321,OK
ROC,out_ppp_gdp_rate,2023,13.569225,OK
SAU,out_ppp_gdp_rate,2023,1.9696664,OK
SIN,out_ppp_gdp_rate,2023,0.80378362,OK
SRI,out_ppp_gdp_rate,2023,86.702693,OK
THA,out_ppp_gdp_rate,2023,10.652015,OK
TUR,out_ppp_gdp_rate,2023,7.369334,OK
UAE,out_ppp_gdp_rate,2023,2.3663256,OK
VIE,out_ppp_gdp_rate,2023,6805.0307,OK
